,Claude 3 Sonnet,Claude 3.5 Sonnet,Claude 3.7 Sonnet,Claude Sonnet 4,GPT-4o (old),GPT-4o,GPT-4.1,GPT-4.1 Mini,GPT-4.1 Nano,Gemini 2.5 Flash,Gemini 2.5 Flash Lite,Gemini 2.5 Pro
Claude 3 Sonnet,1.0,0.45238739945552603,0.5317380225056662,0.502954544738912,0.46615652768652016,0.2631223828212261,0.24354656784847803,-0.0034359143121843326,0.18370475306114328,-0.005054379190462709,0.22632308741614812,0.09873122755156481
Claude 3.5 Sonnet,0.45238739945552603,1.0,0.36178387909329934,0.3200636937887228,0.2540304624591199,0.07635050483344942,-0.11441803694354724,0.07930670122462682,0.2593337132094769,0.07828524184154172,0.3554409324470722,-0.11496981997028854
Claude 3.7 Sonnet,0.5317380225056662,0.36178387909329934,1.0,0.3253691302989584,0.2896792714524114,0.4791709636592501,0.15981687751573243,0.3267964731633002,0.2802025916494632,0.2191320760188004,0.11983881826085908,0.16511921728016896
Claude Sonnet 4,0.502954544738912,0.3200636937887228,0.3253691302989584,1.0,0.20940310463623404,0.024033553245798884,0.22727991294628233,-0.1551342495603138,0.11292499683610376,0.0958854257951721,0.24455649222674322,-0.016844931842396837
GPT-4o (old),0.46615652768652016,0.2540304624591199,0.2896792714524114,0.20940310463623404,1.0,0.17839798864213352,0.2309746636346263,0.23050215806165888,0.2951365952928281,0.17183167493375479,-0.1274301453638853,0.2637168347188089
GPT-4o,0.2631223828212261,0.07635050483344942,0.4791709636592501,0.024033553245798884,0.17839798864213352,1.0,0.2136302274071901,0.48963327021872455,0.509788484510623,0.20453292718634042,-0.02907754977891728,0.08345167998193079
GPT-4.1,0.24354656784847803,-0.11441803694354724,0.15981687751573243,0.22727991294628233,0.2309746636346263,0.2136302274071901,1.0,0.17300702715573088,0.00291714721873798,0.04288474582137171,0.09222227570342696,0.29981904004078724
GPT-4.1 Mini,-0.0034359143121843326,0.07930670122462682,0.3267964731633002,-0.1551342495603138,0.23050215806165888,0.48963327021872455,0.17300702715573088,1.0,0.33329813086302745,0.0941143307353897,-0.046553529254405826,0.20391643723643235
GPT-4.1 Nano,0.18370475306114328,0.2593337132094769,0.2802025916494632,0.11292499683610376,0.2951365952928281,0.509788484510623,0.00291714721873798,0.33329813086302745,1.0,0.14194139194139196,-0.14082935685498188,0.3232817880667086
Gemini 2.5 Flash,-0.005054379190462709,0.07828524184154172,0.2191320760188004,0.0958854257951721,0.17183167493375479,0.20453292718634042,0.04288474582137171,0.0941143307353897,0.14194139194139196,1.0,-0.08711931239726498,0.04089462824574517
Gemini 2.5 Flash Lite,0.22632308741614812,0.3554409324470722,0.11983881826085908,0.24455649222674322,-0.1274301453638853,-0.02907754977891728,0.09222227570342696,-0.046553529254405826,-0.14082935685498188,-0.08711931239726498,1.0,0.09063328626165848
Gemini 2.5 Pro,0.09873122755156481,-0.11496981997028854,0.16511921728016896,-0.016844931842396837,0.2637168347188089,0.08345167998193079,0.29981904004078724,0.20391643723643235,0.3232817880667086,0.04089462824574517,0.09063328626165848,1.0
