,Claude 3 Sonnet,Claude 3.5 Sonnet,Claude 3.7 Sonnet,Claude Sonnet 4,GPT-4o (old),GPT-4o,GPT-4.1,GPT-4.1 Mini,GPT-4.1 Nano,Gemini 2.5 Flash,Gemini 2.5 Flash Lite,Gemini 2.5 Pro
Claude 3 Sonnet,1.0,0.1774824180557047,0.3531227116122094,0.1923691325411865,-0.08950686553488063,-0.040028931011365704,0.04820445848242698,0.07154462086777234,-0.03722599337648592,0.5361136046754429,0.27275754768217686,-0.08911849970873754
Claude 3.5 Sonnet,0.1774824180557047,1.0,0.3442617303936772,0.5284464770276256,0.22851435421214225,0.023616572141091995,0.0879055528664219,-0.09192107721504895,0.2235000577070932,0.278929319650795,0.4974001115733321,0.10362986579482769
Claude 3.7 Sonnet,0.3531227116122094,0.3442617303936772,1.0,0.3950237322373637,0.6034041975682294,0.05876306492789765,0.25778627795739745,-0.12727118521962877,0.3462779517982423,0.03421302233701399,0.48169413647622905,0.08509795200256749
Claude Sonnet 4,0.1923691325411865,0.5284464770276256,0.3950237322373637,1.0,0.6065853392806682,0.23808867177888338,0.3611703044352868,0.09757260929176413,0.6640109844680837,0.15210386512897128,0.811341625288581,0.2940918607474314
GPT-4o (old),-0.08950686553488063,0.22851435421214225,0.6034041975682294,0.6065853392806682,1.0,0.5511468731309606,0.37926478092296767,0.15671685430238513,0.6229083441915056,0.0296619755892496,0.6828219023759085,0.40577980587977974
GPT-4o,-0.040028931011365704,0.023616572141091995,0.05876306492789765,0.23808867177888338,0.5511468731309606,1.0,0.3492040579929847,0.4483464067565161,0.16320730534501343,0.11802232847687712,0.2112042706780585,0.29451426413521803
GPT-4.1,0.04820445848242698,0.0879055528664219,0.25778627795739745,0.3611703044352868,0.37926478092296767,0.3492040579929847,1.0,0.24616900130602964,0.295240698783074,0.15404111932349754,0.45967228110485514,-0.044438964818232285
GPT-4.1 Mini,0.07154462086777234,-0.09192107721504895,-0.12727118521962877,0.09757260929176413,0.15671685430238513,0.4483464067565161,0.24616900130602964,1.0,0.1436830971966889,0.0794804019662836,0.05879163907366686,0.12406412343746338
GPT-4.1 Nano,-0.03722599337648592,0.2235000577070932,0.3462779517982423,0.6640109844680837,0.6229083441915056,0.16320730534501343,0.295240698783074,0.1436830971966889,1.0,0.004574999668312441,0.5614830832668131,0.14390097944782723
Gemini 2.5 Flash,0.5361136046754429,0.278929319650795,0.03421302233701399,0.15210386512897128,0.0296619755892496,0.11802232847687712,0.15404111932349754,0.0794804019662836,0.004574999668312441,1.0,0.48276490074617423,-0.04462701967923894
Gemini 2.5 Flash Lite,0.27275754768217686,0.4974001115733321,0.48169413647622905,0.811341625288581,0.6828219023759085,0.2112042706780585,0.45967228110485514,0.05879163907366686,0.5614830832668131,0.48276490074617423,1.0,0.2847313681004104
Gemini 2.5 Pro,-0.08911849970873754,0.10362986579482769,0.08509795200256749,0.2940918607474314,0.40577980587977974,0.29451426413521803,-0.044438964818232285,0.12406412343746338,0.14390097944782723,-0.04462701967923894,0.2847313681004104,1.0
